foreign1,foreign2,definitions,level
老い,おい,old age; old person; the old; the aged,JLPT N-3
お前,おまえ,"you / presence (of a god, nobleman, etc.)",JLPT N-3
哀れ,あわれ,pity; sorrow; grief; misery; compassion; pathos / pitiable; pitiful; pathetic; miserable / alack; alas,JLPT N-3
握る,にぎる,"to clasp; to grasp; to grip; to clutch / to make (nigirizushi, rice ball, etc.); to form; to press into shape; to mold; to mould / to seize (power, etc.); to take hold of",JLPT N-3
異なる,ことなる,to differ; to vary; to disagree,JLPT N-3
育つ,そだつ,to be raised (e.g. child); to be brought up; to grow (up),JLPT N-3
引用,いんよう,quotation; citation; reference,JLPT N-3
羽,はね,"feather; plume; down / wing / blade (of a fan, propeller, etc.) / shuttlecock / arrow feathers",JLPT N-3
嘘,うそ,lie; fib; falsehood; untruth / mistake; error / unwise move; bad decision / No way!; Unbelievable!; Really?!,JLPT N-3
噂,うわさ,rumour; rumor; report; hearsay; gossip; common talk,JLPT N-3
餌,えさ,(animal) feed; fodder; pet food / bait; lure; enticement,JLPT N-3
横切る,よこぎる,to cross (e.g. road); to traverse,JLPT N-3
王様,おうさま,king,JLPT N-3
沖,おき,open sea,JLPT N-3
恩,おん,favour; favor; obligation; debt of gratitude,JLPT N-3
くださる,下さる,to give; to confer; to bestow / to kindly do for one; to oblige; to favour; to favor,JLPT N-3
加える,くわえる,to add; to add up; to sum up; to append; to annex / to increase; to gather (e.g. speed); to pick up / to include; to count in; to let join / to inflict (damage); to deal; to give,JLPT N-3
加わる,くわわる,"to be added to; to be appended / to join in (e.g. a group of friends); to participate / to increase (e.g. heat); to gain in (e.g. influence); to grow; to gather (speed) / to be applied (e.g. heat, pressure); to be exerted",JLPT N-3
加減,かげん,degree; extent; amount; balance; state; condition / (health) condition; state of health / adjustment; moderation; regulation / addition and subtraction / slight sign of ...; slight state of ... / just right for ...,JLPT N-3
火曜,かよう,Tuesday,JLPT N-3
稼ぐ,かせぐ,"to earn (income); to make (money) / to score (points, victory); to gain (time); to play (for time) / to work hard (at one's job); to labor; to labour; to toil",JLPT N-3
過ごす,すごす,to pass (time); to spend / to overdo (esp. of one's alcohol consumption); to drink (alcohol) / to take care of; to support / to overdo; to do too much / to ... without acting on it,JLPT N-3
回す,まわす,to turn; to rotate; to gyrate / to circulate; to send around / to surround / to put something to a new use (e.g. leftovers) / ... around (e.g. to chase someone around) / to dial (e.g. telephone number) / to invest / to gang-rape,JLPT N-3
咳,せき,cough; coughing; tussis,JLPT N-3
害,がい,injury; harm; evil influence; damage,JLPT N-3
確かめる,たしかめる,to ascertain; to check; to make sure,JLPT N-3
覚ます,さます,to awaken; to arouse from sleep / to bring to one's senses; to disabuse (someone of) / to sober up / to dampen; to throw a damper on; to spoil,JLPT N-3
覚める,さめる,to wake; to wake up / to become sober; to sober up; to regain consciousness (e.g. after anaesthesia) / to come to one's senses; to be disillusioned,JLPT N-3
学ぶ,まなぶ,to study (in depth); to learn; to take lessons in,JLPT N-3
学期,がっき,school term; semester,JLPT N-3
割る,わる,"to divide / to cut; to halve; to separate; to split; to rip / to break; to crack; to smash / to dilute / to fall below / to discount / to step over (a line, etc.)",JLPT N-3
刈る,かる,"to cut (grass, hair, etc.); to mow; to clip; to trim; to prune; to shear; to reap; to harvest",JLPT N-3
完了,かんりょう,"completion; conclusion / perfect (tense, form, aspect)",JLPT N-3
関する,かんする,to concern; to be related,JLPT N-3
含む,ふくむ,"to contain; to comprise; to have; to hold; to include; to embrace / to hold in the mouth / to bear in mind; to understand; to harbor (grudge, etc.); to harbour / to express (emotion, etc.); to imply",JLPT N-3
願う,ねがう,to desire; to wish; to hope / to beg; to request; to implore; to pray / to have something done for oneself,JLPT N-3
器用,きよう,skilful; skillfull; adroit; dexterous; dextrous; deft; nimble; handy / clever; shrewd; ingenious,JLPT N-3
機嫌,きげん,humour; humor; temper; mood; spirits / safety; health; well-being; one's situation / in a good mood; in high spirits; happy; cheery; merry; chipper,JLPT N-3
気に入る,きにいる,to like; to be pleased with; to be delighted with; to take a liking to; to suit one's fancy,JLPT N-3
気の毒,きのどく,pitiful; unfortunate; poor; miserable; wretched / unpardonable; regrettable,JLPT N-3
記入,きにゅう,"entry (in a form, register, diary, etc.); filling in; filling out",JLPT N-3
起こる,おこる,to occur; to happen,JLPT N-3
逆らう,さからう,to go against; to oppose; to disobey; to defy,JLPT N-3
及ぼす,およぼす,to exert; to cause; to exercise,JLPT N-3
救う,すくう,to rescue from; to help out of; to save,JLPT N-3
去る,さる,"to leave; to go away / to pass; to elapse / to be distant / to send away; to drive off; to divorce / to (do) completely / last ... (e.g. ""last April"")",JLPT N-3
居眠り,いねむり,nodding off (while sitting); dozing,JLPT N-3
強調,きょうちょう,emphasis; highlight; stress; stressed point,JLPT N-3
おそらく,恐らく,perhaps; likely; probably; I dare say,JLPT N-3
